news_date,source,headline,predicted_category,priority,urea_increase,urea_decrease,urea_volatility,dap_increase,dap_decrease,dap_volatility,mop_increase,mop_decrease,mop_volatility,actual_category,category_match
2020-01-08,Интерфакс,Опубликован годовой ESG-отчёт компании,Прочее,0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,Прочее,True
2020-01-10,CRU,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,85,0.1,0.85,0.05,0.05,0.9,0.05,0.1,0.82,0.08,Фосфаты,True
2020-01-18,Профильный телеграм-канал,"Ставки фрахта снижаются, логистика дешевеет",Логистика,40,0.1,0.7,0.2,0.1,0.7,0.2,0.1,0.7,0.2,Логистика,True
2020-03-12,ICIS,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,85,0.02,0.93,0.05,0.02,0.88,0.1,0.02,0.85,0.13,Аммиак,True
2020-03-14,CRU,Компания провела ежегодный день инвестора,Прочее,0,0.05,0.1,0.85,0.05,0.1,0.85,0.05,0.1,0.85,Прочее,True
2020-03-18,CRU,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,70,0.5,0.2,0.3,0.45,0.2,0.35,0.35,0.3,0.35,Спрос/агрорынок,True
2020-03-20,Argus,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,70,0.1,0.4,0.5,0.05,0.8,0.15,0.1,0.35,0.55,Фосфаты,True
2020-04-04,Bloomberg,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,60,0.1,0.7,0.2,0.1,0.7,0.2,0.1,0.7,0.2,Логистика,True
2020-04-06,Argus,Компания провела ежегодный день инвестора,Прочее,5,0.03,0.03,0.94,0.03,0.03,0.94,0.03,0.03,0.94,Прочее,True
2020-04-08,CRU,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,Спрос/агрорынок,70,0.35,0.25,0.4,0.35,0.2,0.45,0.3,0.25,0.45,Спрос/агрорынок,True
2020-04-17,Коммерсантъ,Производители аммиака объявили о сокращении мощностей,Аммиак,85,0.1,0.75,0.15,0.1,0.7,0.2,0.08,0.78,0.14,Аммиак,True
2020-04-18,CRU,Дефицит калия на ключевых рынках толкает цены вверх,Калий,90,0.3,0.3,0.4,0.3,0.3,0.4,0.7,0.1,0.2,Калий,True
