news_date,source,headline,predicted_category,priority,urea_increase,urea_decrease,urea_volatility,dap_increase,dap_decrease,dap_volatility,mop_increase,mop_decrease,mop_volatility
2025-10-31,Reuters,Стабилизация рубля снижает экспортные премии,Макро/валюта,60,0.4000,0.2000,0.4000,0.4000,0.2000,0.4000,0.4000,0.2000,0.4000
2025-11-11,ICIS,Ставки морского фрахта взлетели из-за перегрузки портов,Логистика,85,0.6000,0.2000,0.2000,0.5500,0.2000,0.2500,0.3000,0.3000,0.4000
2025-11-12,Интерфакс,Стабилизация на газовом рынке снижает издержки производителей,Энергоносители,70,0.0500,0.1000,0.8500,0.0500,0.1500,0.8000,0.0500,0.1000,0.8500
2025-11-13,Reuters,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,70,0.6000,0.1000,0.3000,0.5000,0.1000,0.4000,0.4000,0.2000,0.4000
2025-11-18,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,60,0.5000,0.1000,0.4000,0.5000,0.1000,0.4000,0.5000,0.1000,0.4000
2025-11-25,CRU,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,85,0.2000,0.2000,0.6000,0.1500,0.2000,0.6500,0.8500,0.0500,0.1000
2025-12-02,Профильный телеграм-канал,"Поставки хлористого калия сорваны, цены MOP идут вверх",Калий,85,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.8000,0.1000,0.1000
2025-12-06,CRU,Котировки аммиака пошли вниз на фоне слабого спроса,Аммиак,80,0.1500,0.4000,0.4500,0.2000,0.3000,0.5000,0.2000,0.3000,0.5000
2025-12-19,ICIS,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,85,0.2500,0.4500,0.3000,0.2000,0.4000,0.4000,0.2000,0.3500,0.4500
2025-12-20,Профильный телеграм-канал,Производитель открыл обновлённый учебный центр,Прочее,0,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000,0.1000,0.1000,0.8000
2025-12-27,Интерфакс,Цены на газ в Европе подскочили до многомесячных максимумов,Энергоносители,85,0.4500,0.2000,0.3500,0.3500,0.2000,0.4500,0.3000,0.2500,0.4500
2026-01-14,CRU,Стабилизация рубля снижает экспортные премии,Макро/валюта,60,0.1500,0.2500,0.6000,0.1500,0.2500,0.6000,0.1000,0.3000,0.6000
