date,source,category,headline
2020-01-08,Интерфакс,Прочее,Опубликован годовой ESG-отчёт компании
2020-01-10,CRU,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2020-01-18,Профильный телеграм-канал,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2020-03-12,ICIS,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2020-03-14,CRU,Прочее,Компания провела ежегодный день инвестора
2020-03-18,CRU,Спрос/агрорынок,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами
2020-03-20,Argus,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2020-04-04,Bloomberg,Логистика,Нарушение цепочек поставок: контейнеры подорожали в разы
2020-04-06,Argus,Прочее,Компания провела ежегодный день инвестора
2020-04-08,CRU,Спрос/агрорынок,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами
2020-04-17,Коммерсантъ,Аммиак,Производители аммиака объявили о сокращении мощностей
2020-04-18,CRU,Калий,Дефицит калия на ключевых рынках толкает цены вверх
2020-05-13,Bloomberg,Прочее,Отраслевая конференция по удобрениям пройдёт в следующем месяце
2020-05-21,Коммерсантъ,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2020-05-27,ICIS,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2020-06-04,Bloomberg,Спрос/агрорынок,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами
2020-06-04,Профильный телеграм-канал,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
2020-06-13,Профильный телеграм-канал,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
2020-06-25,Argus,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2020-06-26,Argus,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2020-07-01,ICIS,Прочее,Опубликован годовой ESG-отчёт компании
2020-07-10,CRU,Аммиак,Производители аммиака объявили о сокращении мощностей
2020-07-18,CRU,Калий,"Поставки калия восстанавливаются, цены MOP снижаются"
2020-07-21,ICIS,Логистика,"Ставки фрахта снижаются, логистика дешевеет"
2020-08-12,Argus,Калий,Дефицит калия на ключевых рынках толкает цены вверх
2020-08-17,Интерфакс,Спрос/агрорынок,Локдауны бьют по логистике и спросу на удобрения
2020-08-24,Профильный телеграм-канал,Аммиак,Производители аммиака объявили о сокращении мощностей
2020-08-26,Reuters,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2020-10-30,CRU,Прочее,Подписан меморандум о научном сотрудничестве с вузом
2020-11-06,ICIS,Фосфаты,Цены на DAP растут на фоне крепкого спроса в Южной Азии
2020-11-23,CRU,Калий,"Поставки калия восстанавливаются, цены MOP снижаются"
2020-11-24,Reuters,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2020-11-27,Коммерсантъ,Макро/валюта,Девальвация рубля повышает экспортную привлекательность удобрений
2020-12-10,Bloomberg,Спрос/агрорынок,Рост цен на зерно поддерживает спрос на удобрения
2020-12-24,Bloomberg,Калий,"Поставки хлористого калия сорваны, цены MOP идут вверх"
2021-01-15,Argus,Аммиак,Котировки аммиака пошли вниз на фоне слабого спроса
2021-01-15,Reuters,Фосфаты,Фосфатное сырьё дорожает вслед за серой
2021-01-21,ICIS,Калий,Введены ограничения на экспорт калия — рынок ждёт дефицита
2021-02-01,ICIS,Макро/валюта,Стабилизация рубля снижает экспортные премии
2021-02-04,ICIS,Фосфаты,Цены на DAP растут на фоне крепкого спроса в Южной Азии
2021-02-15,CRU,Калий,Новые контракты по калию заключены ниже рынка
2021-02-19,Коммерсантъ,Логистика,Логистические издержки растут — дорожает доставка удобрений
2021-03-12,Коммерсантъ,Энергоносители,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает"
2021-03-17,Bloomberg,Макро/валюта,Девальвация рубля повышает экспортную привлекательность удобрений
2021-03-23,Интерфакс,Прочее,Отраслевая конференция по удобрениям пройдёт в следующем месяце
2021-03-25,Bloomberg,Фосфаты,DAP дешевеет из-за слабого спроса в Индии
2021-03-30,Argus,Фосфаты,Снижение цен на серу тянет вниз котировки фосфатных удобрений
2021-04-13,Профильный телеграм-канал,Энергоносители,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений
2021-04-14,Argus,Калий,"Поставки калия восстанавливаются, цены MOP снижаются"
2021-04-20,Профильный телеграм-канал,Логистика,Ставки морского фрахта взлетели из-за перегрузки портов
