date,source,headline,pred_category,category_reasoning,actionable
2024-04-23,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,"Новость напрямую связана с DAP (диаммонийфосфат) — ключевым продуктом категории фосфатов, а также фактором спроса (слабый спрос в Индии), что влияет на цену данного удобрения. Категория 'Спрос/агрорынок' также релевантна, но приоритет отдается первичному продукту, указанному в заголовке (DAP), согласно прямой связи с ценами.",True
2024-04-24,Argus,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,"Заголовок и источник (Argus) прямо связывают рост цен на зерно с повышением спроса на удобрения. Это соответствует категории 'Спрос/агрорынок', которая охватывает влияние агрокультур и фермеров на рынок удобрений.",True
2024-05-01,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,Фосфаты,"Новость напрямую связана с DAP (диаммонийфосфат) — ключевым продуктом категории фосфатов, а также фактором спроса (слабый спрос в Индии), что влияет на цену данного удобрения. Категория 'Спрос/агрорынок' также релевантна, но приоритет отдается первичному продукту, указанному в заголовке (DAP), согласно прямой связи с ценами.",True
2024-05-02,Argus,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",Аммиак,"Заголовок новости напрямую указывает на сокращение выпуска аммиака из-за энергокризиса в Европе. Это соответствует категории ""Аммиак"" (азотные удобрения, мощности заводов). Источник Argus является надежным отраслевым изданием. Событие имеет прямое влияние на производство и потенциально на цены мочевины.",True
2024-05-04,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,Логистика,"Заголовок прямо указывает на нарушение цепочек поставок и рост стоимости контейнеров. Это относится к категории 'Логистика', которая включает фрахт, доставку, порты, контейнеры и цепочки поставок. Хотя косвенно это может повлиять на другие категории (например, на цены MOP, DAP или мочевины через удорожание доставки), основное содержание новости — логистический сбой. Источник CRU является надежным отраслевым источником.",True
2024-05-23,Интерфакс,Рост цен на зерно поддерживает спрос на удобрения,Спрос/агрорынок,"Заголовок новости напрямую связывает рост цен на зерно с поддержкой спроса на удобрения. Это соответствует категории 'Спрос/агрорынок', которая включает агрокультуры, фермеров и сезон закупок. Источник (Интерфакс) является надежным.",True
2024-06-06,Bloomberg,"Поставки калия восстанавливаются, цены MOP снижаются",Калий,"Заголовок напрямую упоминает поставки калия и цены MOP (хлористый калий). Соответствует категории 'Калий — MOP, potash, хлористый калий'. Источник Bloomberg — надежный.",True
2024-06-14,Reuters,Назначен новый директор по устойчивому развитию,Прочее,"Новость о назначении директора по устойчивому развитию не имеет прямого рыночного эффекта на цены удобрений, не связана с производством, логистикой или спросом. Это корпоративное/ESG событие, которое не влияет на текущие рыночные факторы.",False
2024-06-18,Коммерсантъ,Опубликован годовой ESG-отчёт компании,Прочее,"Новость касается годового ESG-отчёта компании. ESG-отчёты не оказывают прямого краткосрочного влияния на рыночные цены аммиака, DAP, MOP или других удобрений, а также не связаны с макроэкономикой, логистикой, спросом или энергоносителями. Заголовок не содержит информации о конкретных продуктах, объёмах производства или рыночных событиях, поэтому относится к категории корпоративных ESG-публикаций без прямого рыночного эффекта.",False
2024-06-27,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,Аммиак,"Заголовок новости напрямую связан с аммиаком (цены на аммиак под давлением из-за запуска простаивавших мощностей). Источник — Коммерсантъ, надёжное деловое издание. Категория 'Аммиак' выбрана, так как новость касается именно рынка аммиака, а не мочевины или других азотных удобрений.",True
