date,source,headline,product,true_dir,pred_dir,true_days,pred_days
2024-04-23,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,urea,down,down,1,1
2024-04-23,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,dap,up,down,1,3
2024-04-23,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,mop,down,down,1,1
2024-04-24,Argus,Рост цен на зерно поддерживает спрос на удобрения,urea,down,up,1,1
2024-04-24,Argus,Рост цен на зерно поддерживает спрос на удобрения,dap,up,up,1,2
2024-04-24,Argus,Рост цен на зерно поддерживает спрос на удобрения,mop,down,down,1,1
2024-05-01,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,urea,flat,down,2,1
2024-05-01,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,dap,down,down,1,3
2024-05-01,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,mop,flat,down,1,1
2024-05-02,Argus,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",urea,flat,up,2,1
2024-05-02,Argus,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",dap,down,down,1,1
2024-05-02,Argus,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",mop,flat,down,1,1
2024-05-04,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,urea,flat,down,2,1
2024-05-04,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,dap,down,up,1,1
2024-05-04,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,mop,flat,flat,1,0
2024-05-23,Интерфакс,Рост цен на зерно поддерживает спрос на удобрения,urea,flat,down,1,4
2024-05-23,Интерфакс,Рост цен на зерно поддерживает спрос на удобрения,dap,up,down,1,1
2024-05-23,Интерфакс,Рост цен на зерно поддерживает спрос на удобрения,mop,down,down,1,1
2024-06-06,Bloomberg,"Поставки калия восстанавливаются, цены MOP снижаются",urea,up,up,1,1
2024-06-06,Bloomberg,"Поставки калия восстанавливаются, цены MOP снижаются",dap,down,up,1,2
2024-06-06,Bloomberg,"Поставки калия восстанавливаются, цены MOP снижаются",mop,up,down,1,1
2024-06-27,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,urea,down,flat,1,0
2024-06-27,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,dap,up,up,1,1
2024-06-27,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,mop,down,flat,3,0
2024-07-04,ICIS,Запуск простаивавших мощностей давит на цены аммиака,urea,up,down,2,1
2024-07-04,ICIS,Запуск простаивавших мощностей давит на цены аммиака,dap,down,up,2,3
2024-07-04,ICIS,Запуск простаивавших мощностей давит на цены аммиака,mop,down,down,2,1
2024-07-11,ICIS,Экспортные котировки аммиака выросли вслед за газом,urea,up,down,1,2
2024-07-11,ICIS,Экспортные котировки аммиака выросли вслед за газом,dap,down,down,1,2
2024-07-11,ICIS,Экспортные котировки аммиака выросли вслед за газом,mop,down,down,1,1
2024-07-24,Argus,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",urea,down,flat,1,0
